日	A	日曰
月竹弓	BHN	冗肌
月竹弓水	BHNE	股
月竹弓火	BHNF	爲
月竹弓戈	BHNI	䏎
月竹人月	BHOB	豽
月竹人木	BHOD	貅
月竹人一弓	BHOMN	貐
月竹人弓	BHON	胻
月竹人人	BHOO	䐫
月竹心戈	BHPI	豹
月竹心一	BHPM	胝
月竹心心	BHPP	豼
月竹心口	BHPR	豿
月竹手竹大	BHQHK	䝟
月竹手一	BHQM	胜
月竹手人	BHQO	胅
月竹手口	BHQR	㬶
月竹口口	BHRR	䏨
月竹口口十	BHRRJ	貚
月竹口卜水	BHRYE	貑
月竹尸	BHS	胙
月竹尸竹口	BHSHR	貂
月竹尸大	BHSK	䝙
月竹尸心	BHSP	䝚
月竹尸口口	BHSRR	貙
月竹廿日大	BHTAK	貘
月竹廿金廿	BHTCT	貖
月竹廿中月	BHTLB	䝡
月竹廿口土	BHTRG	貛
月竹廿田	BHTW	貓
月竹山金	BHUC	臢
月竹山中	BHUL	䑄
月竹山一月	BHUMB	貒
月竹山人	BHUO	臜
月竹山山	BHUU	膬貀
月竹女人	BHVO	胍
月竹田土	BHWG	貍
月竹田中人	BHWLO	䝦
月竹田心	BHWP	膍
月竹難	BHX	舀
月竹難金	BHXC	䑂
月竹難水	BHXE	膄
月竹難火	BHXF	冩
月竹難人	BHXO	腴
月竹難山	BHXU	腉
月竹卜心山	BHYPU	䝞
月戈日女	BIAV	朖
月戈月戈	BIBI	膊
月戈金水	BICE	朘脧
月戈土	BIG	脏
月戈竹手	BIHQ	䏬
月戈竹手山	BIHQU	㲕
月戈戈	BII	䏼
月戈十月	BIJB	脯
月戈十水	BIJE	脙
月戈大	BIK	肰
月戈大火	BIKF	𤔡
月戈大大	BIKK	胈
月戈大心	BIKP	胧
月戈大山	BIKU	肬
月戈中口	BILR	膅
月戈一月金	BIMBC	頱
月戈弓水	BINE	脉
月戈人戈	BIOI	腑
月戈心	BIP	悬
月戈心金	BIPC	膩
月戈心火	BIPF	臕
月戈心人	BIPO	腻
月戈心心	BIPP	脦
月戈口	BIR	胎
月戈尸月	BISB	䐔
月戈廿金	BITC	臁
月戈山竹	BIUH	䏵
月戈難心	BIXP	膔
月戈卜心山	BIYPU	虢
月十月	BJB	肺
月十月金	BJBC	䐜
月十月木	BJBD	脖
月十月十	BJBJ	腩
月十月一	BJBM	䐈
月十金土	BJCG	膣
月十金一	BJCM	腔
月十金口	BJCR	𦞳
月十金山	BJCU	𦡆
月十木	BJD	䏞
月十木竹水	BJDHE	皸
月十水	BJE	肢
月十竹日火	BJHAF	鶤
月十戈戈	BJII	膞
月十大日	BJKA	䐗
月十大心	BJKP	𦚱
月十中一戈	BJLMI	蠈
月十中人	BJLO	脻
月十一月金	BJMBC	顐
月十一金	BJMC	臏
月十一火	BJMF	腙
月十一土	BJMG	腟
月十一人	BJMO	腚
月十一山	BJMU	脘
月十弓中	BJNL	鄆
月十弓山	BJNU	腕
月十人金	BJOC	膑
月十口十	BJRJ	䐻
月十廿金	BJTC	膹
月十廿戈	BJTI	臗
月十女	BJV	胺
月十田十	BJWJ	軍
月大	BK	冈罓
月大金火	BKCF	膫
月大金人口	BKCOR	谿
月大金山	BKCU	𦞴
月大木	BKD	胨
月大火	BKF	然𤉷
月大竹日火	BKHAF	鶪鷄
月大戈	BKI	肱肽
月大戈金	BKIC	脎
月大戈口一	BKIRM	䍞
月大大	BKK	网
月大大月	BKKB	脪
月大中弓	BKLN	刚
月大中山	BKLU	腌
月大一月金	BKMBC	䫣
月大一十	BKMJ	䍑
月大一中田	BKMLW	羀
月大一口	BKMR	䐀
月大一尸	BKMS	胯
月大弓	BKN	胰
月大弓戈	BKNI	肒
月大弓中	BKNL	郹
月大弓弓	BKNN	䐒
月大弓人	BKNO	㰿
月大人土	BKOG	雞
月大人人	BKOO	脥
月大心月	BKPB	䐭
月大心卜一	BKPYM	䴗
月大手	BKQ	军
月大尸	BKS	肋
月大尸金	BKSC	胁
月大尸十	BKSJ	䐛
月大尸人	BKSO	䏮
月大尸尸	BKSS	脇
月中	BL	肿
月中月大	BLBK	胦
月中月山	BLBU	䏙
月中土一	BLGM	䐸
月中中	BLL	𦉫
月中中中	BLLL	䏒
月中中弓	BLLN	胇
月中一金	BLMC	膭
月中一人	BLMO	朓脁
月中一卜	BLMY	腓
月中弓	BLN	刖
月中人人	BLOO	㒳
月中手十尸	BLQJS	䵻
月中山	BLU	见
月中田中	BLWL	胂
月中田女	BLWV	膢
月中難	BLX	䐹
月中難竹	BLXH	胏
月一	BM	且囗肛
月一月月	BMBB	臑
月一月金	BMBC	䐓
月一月土	BMBG	臛
月一月大	BMBK	腝
月一月中	BMBL	胹
月一月尸	BMBS	膤
月一月山	BMBU	脜
月一金田	BMCW	𦚵
月一木	BMD	䏏
月一火	BMF	肧
月一火月	BMFB	𦢈
月一火十	BMFJ	胓
月一火一	BMFM	胚
月一火口	BMFR	脴
月一土	BMG	䏕
月一竹日火	BMHAF	鴡
月一戈	BMI	县
月一戈土	BMIG	胵
月一十	BMJ	肝
月一大水	BMKE	爰
月一大尸	BMKS	助
月一中月	BMLB	脼
月一中一	BMLM	𦜖
月一中弓	BMLN	刞
月一一	BMM	冄
月一一月金	BMMBC	䪶
月一一金	BMMC	具
月一一火	BMMF	䏡
月一一人	BMMO	冡冢
月一一口	BMMR	䏸
月一一尸	BMMS	肟
月一一山	BMMU	朊䏓
月一一女	BMMV	脤
月一弓中	BMNL	䢸
月一弓口	BMNR	胢
月一人土	BMOG	雎
月一口	BMR	同
月一口月	BMRB	膈
月一口廿	BMRT	脰
月一口田	BMRW	冨腷
月一尸人	BMSO	䐁豚
月一尸心	BMSP	㥯
月一山日	BMUA	䐶
月一山水	BMUE	冦
月一山戈	BMUI	冠
月一山女	BMUV	㓂
月一女一	BMVM	脛
月一田火	BMWF	膘
月一田十	BMWJ	䐺
月一田中	BMWL	腼
月一田女	BMWV	腰
月弓	BN	㐍肊
月弓日山	BNAU	脃脕
月弓月	BNB	冎
月弓金口	BNCR	膽
月弓木	BND	孚
月弓土	BNG	䏔
月弓竹木	BNHD	腬
月弓竹水	BNHE	䏜
月弓竹難	BNHX	䐄
月弓戈戈	BNII	膙
月弓戈弓	BNIN	䏧
月弓大土	BNKG	脡
月弓大手	BNKQ	腱
月弓大女	BNKV	脠
月弓中	BNL	䏖
月弓中戈戈	BNLII	蠫
月弓一一	BNMM	䐞
月弓一山	BNMU	脆
月弓一女戈	BNMVI	䢆
月弓人	BNO	肷
月弓人一	BNOM	胫
月弓人廿	BNOT	膯
月弓尸竹	BNSH	肠
月弓山戈	BNUI	冤
月弓田火	BNWF	䐳
月人	BO	贝
月人日日	BOAA	䞎
月人日月山	BOABU	赗
月人日水	BOAE	腹
月人日竹	BOAH	膓
月人日心竹	BOAPH	赐
月人月	BOB	肭
月人月土口	BOBGR	赒
月人月人	BOBO	朒䏑
月人月人人	BOBOO	赑
月人月口	BOBR	𦛚
月人金田日	BOCWA	赠
月人木	BOD	䏫
月人木竹	BODH	财
月人木戈	BODI	胕
月人火火	BOFF	赕
月人土	BOG	脽
月人土火	BOGF	膲
月人土尸	BOGS	䐪臇
月人竹日火	BOHAF	鶏
月人竹水	BOHE	贩
月人竹水口	BOHER	赂
月人竹竹	BOHH	胗
月人竹戈人	BOHIO	贬
月人竹十口	BOHJR	䞌
月人戈月戈	BOIBI	赙
月人戈土	BOIG	赃
月人戈戈	BOII	朎
月人戈十	BOIJ	贼
月人戈十水	BOIJE	赇
月人戈一	BOIM	䑎
月人戈弓	BOIN	肣
月人戈心	BOIP	腍
月人戈口	BOIR	贻
月人十	BOJ	㬳
月人十大日	BOJKA	赌
月人十一	BOJM	贮
月人十弓大	BOJNK	赎
月人十山	BOJU	䍃
月人大月	BOKB	贿
月人中月	BOLB	䐰
月人中弓	BOLN	则
月人一日	BOMA	膾
月人一月	BOMB	腀
月人一金	BOMC	㒷𦛼
月人一戈	BOMI	脍
月人一一	BOMM	脸
月人一一火	BOMMF	祭
月人一一女	BOMMV	赈
月人一弓	BOMN	䏗腧
月人一人	BOMO	臉
月人一心一	BOMPM	赋
月人一口	BOMR	䏩
月人一口廿	BOMRT	豋
月人弓	BON	肐
月人弓金口	BONCR	赡
月人人土	BOOG	脞
月人人十山	BOOJU	罂
月人人大	BOOK	败
月人人一火	BOOMF	赊
月人心木	BOPD	胣
月人心戈	BOPI	购
月人心人	BOPO	账
月人手	BOQ	脌
月人手大日	BOQKA	䞐
月人手一月	BOQMB	䞍
月人口竹山	BORHU	贶
月人尸人卜	BOSOY	赆
月人廿火	BOTF	膴
月人廿難金	BOTXC	赚
月人女	BOV	婴
月人田心	BOWP	䞏
月人田卜	BOWY	脢
月人卜一口	BOYMR	詧
月人卜口	BOYR	贴
月人卜廿口	BOYTR	赔
月人卜女人	BOYVO	赅
月心日	BPA	脂
月心木	BPD	肔
月心竹	BPH	䏟
月心竹日	BPHA	䐇
月心竹竹	BPHH	肳
月心竹口	BPHR	脗
月心戈	BPI	肑
月心一一	BPMM	䏛
月心人	BPO	胀
月心心	BPP	肶
月心心土	BPPG	䏶
月心口	BPR	朐胊
月心口山	BPRU	胞
月心廿	BPT	朑
月心廿木	BPTD	䐑
月心山	BPU	肫
月心山大	BPUK	胸
月心山山	BPUU	䐢
月手	BQ	用
月手木竹水	BQDHE	皲
月手竹日火	BQHAF	䴄
月手竹日土	BQHAG	䑟
月手竹火	BQHF	䐼
月手竹中	BQHL	䏳
月手十	BQJ	肨
月手大日	BQKA	䐏
月手大大	BQKK	腠
月手大手	BQKQ	䏾
月手一月	BQMB	腈
月手一火	BQMF	膆
月手一女	BQMV	脿
月手弓戈	BQNI	䏝
月手弓中	BQNL	郓
月手人	BQO	肤
月手山	BQU	甩
月口	BR	冋
月口月金	BRBC	䐣
月口金	BRC	胑
月口竹日火	BRHAF	鵰
月口竹土	BRHG	脭
月口竹竹竹	BRHHH	彫
月口竹女火	BRHVF	䌛𦅚
月口戈	BRI	戙
月口戈心	BRIP	㢥
月口中弓	BRLN	㓮
月口一大	BRMK	脵
月口弓中	BRNL	郮
月口人月	BROB	脶
月口人土	BROG	雕
月口口木	BRRD	臊
月口口十	BRRJ	䐷
月口口心	BRRP	㖯
月口口尸	BRRS	㬽腭
月口尸水	BRSE	腵
月口尸十	BRSJ	䐕
月口尸一一	BRSMM	翢
月口山	BRU	囘
月尸金	BSC	䏘
月尸木	BSD	爭
月尸水	BSE	脲
月尸水金	BSEC	臔
月尸水火	BSEF	鵩
月尸火	BSF	㷡
月尸火木	BSFD	䐖
月尸竹竹	BSHH	豸
月尸竹戈	BSHI	肕
月尸戈心	BSIP	䏰
月尸十	BSJ	䏪
月尸十水	BSJE	冣
月尸十口	BSJR	腒
月尸中水	BSLE	服
月尸一日	BSMA	䐲
月尸一土	BSMG	腛
月尸一竹	BSMH	膠
月尸一十	BSMJ	臎
月尸一口	BSMR	䏤
月尸一女	BSMV	脹
月尸人大	BSOK	䐅
月尸心	BSP	胒
月尸口十	BSRJ	䑀
月尸口口	BSRR	膒
月尸尸	BSS	凸
月尸尸口	BSSR	䏱
月尸廿女	BSTV	𦟌
月廿	BT	冊皿䍏
月廿日	BTA	腊
月廿日月	BTAB	冪
月廿日大	BTAK	膜
月廿日女	BTAV	臈
月廿月金	BTBC	腆
月廿月人	BTBO	朦䑃
月廿月尸	BTBS	𦛨
月廿金	BTC	㬴
月廿金日	BTCA	𦡮
月廿金廿	BTCT	膉
月廿土口	BTGR	膳
月廿戈尸	BTIS	臓臟
月廿大	BTK	朕
月廿中月	BTLB	䐽
月廿中火	BTLF	臙
月廿中十	BTLJ	䐙
月廿中大	BTLK	朠
月廿中弓	BTLN	删刪
月廿一月金	BTMBC	頯𩓚
月廿一金	BTMC	𦝁䐵
月廿一木	BTMD	腜
月廿一十	BTMJ	𦠜
月廿人水	BTOE	臒
月廿人心	BTOP	㬸
月廿人女	BTOV	㒺䑆
月廿手	BTQ	羘
月廿手一	BTQM	䐤
月廿口土	BTRG	䑏
月廿廿	BTT	肼胼
月廿廿月	BTTB	䐟
月廿山	BTU	岡
月廿田日	BTWA	䐬
月廿田弓	BTWN	䑅
月廿田女	BTWV	膿
月廿難金	BTXC	膁
月廿卜十	BTYJ	膵
月廿卜山	BTYU	㬻䐠
月廿卜女	BTYV	罔
月山	BU	冚目
月山日火山	BUAFU	䁜
月山日竹一	BUAHM	睲
月山日竹山	BUAHU	睸
月山日十女	BUAJV	䁙
月山日一竹	BUAMH	䁑
月山日一十	BUAMJ	睅
月山日一人	BUAMO	睼
月山日弓日	BUANA	瞷
月山日弓月	BUANB	瞯
月山日弓土	BUANG	瞤
月山日弓大	BUANK	矙
月山日弓人	BUANO	䁡
月山日心竹	BUAPH	睗
月山日女	BUAV	眼
月山月	BUB	眀
月山月日金	BUBAC	瞑
月山月月水	BUBBE	瞹
月山月月手	BUBBQ	瞬
月山月木	BUBD	睬
月山月土口	BUBGR	睭
月山月竹火	BUBHF	鷪
月山月十十	BUBJJ	睴
月山月一水	BUBME	䁔
月山月一口	BUBMR	眮
月山月人山	BUBOU	䁘
月山月尸木	BUBSD	睜
月山月山	BUBU	䀠
月山月山水	BUBUE	䂄
月山月山土	BUBUG	䂂
月山月山大	BUBUK	瞁
月山月山山	BUBUU	睍覞
月山月女大	BUBVK	𥉐
月山月田戈	BUBWI	䂃
月山金	BUC	貝
月山金水	BUCE	朡
月山金戈一	BUCIM	瞈
月山金一尸	BUCMS	盻
月山金弓竹	BUCNH	睇
月山金人口	BUCOR	䀰
月山金尸竹	BUCSH	盼
月山金田日	BUCWA	䁬
月山木竹中	BUDHL	𥇦
月山木戈	BUDI	䙷䙸
月山木十	BUDJ	眜
月山木大	BUDK	䀗
月山木中	BUDL	䀳
月山木一火	BUDMF	𥈡
月山木人人	BUDOO	睞
月山木廿	BUDT	睐
月山水戈	BUEI	䀑
月山水戈山	BUEIU	䁊
月山火	BUF	煛
月山火月	BUFB	睄
月山火月火	BUFBF	矘
月山火月土	BUFBG	瞠
月山火月手	BUFBQ	𥋇
月山火木	BUFD	眯
月山火木手	BUFDQ	瞵
月山火木女	BUFDV	䁖
月山火火	BUFF	睒
月山火竹	BUFH	眇
月山火手	BUFQ	眫
月山火手山	BUFQU	睠
月山土金水	BUGCE	睖
月山土金土	BUGCG	睦
月山土土	BUGG	眭
月山土土山	BUGGU	䁱
月山土戈尸	BUGIS	䀷
月山土戈廿	BUGIT	瞌
月山土口口	BUGRR	瞦
月山土廿十	BUGTJ	䁄
月山竹日火	BUHAF	瞗鷂
月山竹日尸	BUHAS	矈
月山竹金水	BUHCE	𥊙
月山竹木火	BUHDF	瞅
月山竹水	BUHE	眅
月山竹水十	BUHEJ	䀱
月山竹水口	BUHER	䀩
月山竹火月	BUHFB	𥋘
月山竹火心	BUHFP	矁
月山竹土火	BUHGF	矄
月山竹竹竹	BUHHH	䀐
月山竹竹十	BUHHJ	睥
月山竹竹女	BUHHV	眽
月山竹戈人	BUHIO	眨
月山竹十	BUHJ	䀒
月山竹十一	BUHJM	睡
月山竹十口	BUHJR	䀨
月山竹十山	BUHJU	瞃
月山竹一中	BUHML	盺
月山竹弓戈	BUHNI	颻
月山竹弓大	BUHNK	飖
月山竹人大	BUHOK	矀覹
月山竹人弓	BUHON	䀪
月山竹人人	BUHOO	瞛
月山竹心日	BUHPA	睧
月山竹手戈	BUHQI	睋
月山竹手人	BUHQO	眣
月山竹手山	BUHQU	眊
月山竹尸大	BUHSK	睙䁶
月山竹山	BUHU	見
月山竹山戈	BUHUI	䁛
月山竹山尸	BUHUS	矏
月山竹女木	BUHVD	䀥
月山竹女火	BUHVF	繇
月山竹女戈	BUHVI	眡
月山竹女中	BUHVL	䀚
月山竹女心	BUHVP	眂
月山竹難水	BUHXE	瞍
月山竹難山	BUHXU	睨
月山戈日女	BUIAV	䀶
月山戈金水	BUICE	睃
月山戈土	BUIG	𥅾
月山戈竹手	BUIHQ	眸
月山戈竹口	BUIHR	䁍
月山戈十月	BUIJB	䀯
月山戈大	BUIK	狊
月山戈大大	BUIKK	䁭
月山戈大心	BUIKP	眬
月山戈中口	BUILR	瞊
月山戈弓水	BUINE	眿
月山戈人大	BUIOK	䀵
月山戈口	BUIR	眙
月山戈廿金	BUITC	矌
月山戈女	BUIV	眓
月山十月金	BUJBC	瞋
月山十金一	BUJCM	瞾
月山十木	BUJD	眛
月山十戈戈	BUJII	䁣
月山十戈口	BUJIR	睵
月山十十中	BUJJL	䁪
月山十大日	BUJKA	睹
月山十中人	BUJLO	睫
月山十一金	BUJMC	瞚矉
月山十一一	BUJMM	睻
月山十一弓	BUJMN	眝
月山十一山	BUJMU	睆
月山十弓山	BUJNU	睕
月山十心弓	BUJPN	矃
月山十手口	BUJQR	瞎
月山十口	BUJR	䀦
月山大金火	BUKCF	瞭
月山大木	BUKD	㮂
月山大土土	BUKGG	睳
月山大十十	BUKJJ	䡞
月山大大	BUKK	覐
月山大大月	BUKKB	睎
月山大中山	BUKLU	䁆
月山大一火	BUKMF	𥇧
月山大弓	BUKN	眱
月山大弓戈	BUKNI	䀓
月山大人人	BUKOO	鿃䀹
月山大女火	BUKVF	䋰
月山中月大	BULBK	眏
月山中月山	BULBU	眈
月山中中弓	BULLN	䀟
月山中中心	BULLP	瞣
月山中一金	BULMC	瞶
月山中一戈	BULMI	蜰
月山中一人	BULMO	眺
月山中弓	BULN	剛
月山中田中	BULWL	眒
月山中田尸	BULWS	䀻
月山中田女	BULWV	瞜
月山一月	BUMB	腨
月山一月月	BUMBB	𥌎
月山一月土	BUMBG	矐
月山一木	BUMD	盱
月山一土土	BUMGG	睚
月山一戈土	BUMIG	眰
月山一十	BUMJ	盰
月山一十大	BUMJK	瞰
月山一大	BUMK	䀖
月山一中尸	BUMLS	眄
月山一一金	BUMMC	䁰
月山一一火	BUMMF	眎
月山一一戈	BUMMI	眃
月山一一心	BUMMP	矖
月山一一山	BUMMU	盶
月山一一女	BUMMV	䀼
月山一弓	BUMN	盯
月山一人月	BUMOB	眪
月山一廿	BUMT	䀘䐩
月山一廿月	BUMTB	矋
月山一山日	BUMUA	䁮
月山一女一	BUMVM	䀴
月山一女尸	BUMVS	䀎
月山一田火	BUMWF	瞟
月山一田十	BUMWJ	瞫
月山一田女	BUMWV	䁏
月山一卜一	BUMYM	眐
月山弓	BUN	㐠
月山弓日山	BUNAU	睌
月山弓月水	BUNBE	矎
月山弓金口	BUNCR	瞻
月山弓木	BUND	覎
月山弓木廿	BUNDT	䁅
月山弓竹月	BUNHB	瞲
月山弓竹水	BUNHE	𥄫
月山弓戈弓	BUNIN	眵
月山弓戈口	BUNIR	眳
月山弓大一	BUNKM	䀽
月山弓大手	BUNKQ	睷
月山弓中	BUNL	䀕
月山弓人大	BUNOK	睽
月山弓人廿	BUNOT	瞪
月山弓口戈	BUNRI	䂁
月山弓尸木	BUNSD	睁
月山弓田火	BUNWF	䁩
月山人土	BUOG	睢瞿膗
月山人土水	BUOGE	矍
月山人土火	BUOGF	瞧
月山人竹竹	BUOHH	眕
月山人大	BUOK	䀢
月山人一日	BUOMA	瞺
月山人一月	BUOMB	睔
月山人一土	BUOMG	䀬
月山人一一	BUOMM	睑䁯
月山人一弓	BUOMN	睮
月山人一人	BUOMO	瞼
月山人一口	BUOMR	䀫
月山人弓	BUON	盵
月山人弓大	BUONK	睺
月山人人土	BUOOG	睉
月山人手	BUOQ	𢆡
月山人廿火	BUOTF	瞴
月山人田卜	BUOWY	䀲
月山心	BUP	愳㦝
月山心日	BUPA	眴
月山心竹	BUPH	䀣
月山心竹竹	BUPHH	䀛
月山心戈一	BUPIM	盷
月山心心	BUPP	䀝
月山心口	BUPR	眗
月山心尸竹	BUPSH	䀙
月山心廿木	BUPTD	䁋
月山心山	BUPU	盹
月山心卜一	BUPYM	鹞
月山手竹中	BUQHL	䀿䁀
月山手十	BUQJ	盽
月山手大日	BUQKA	睶
月山手一月	BUQMB	睛
月山手一金	BUQMC	瞔
月山手一女	BUQMV	䁃
月山手人山	BUQOU	瞡
月山口月	BURB	睊
月山口月金	BURBC	䁚
月山口竹山	BURHU	眖
月山口一土	BURMG	睈
月山口心日	BURPA	䁕
月山口口木	BURRD	矂
月山口尸水	BURSE	睱
月山口尸十	BURSJ	䁒
月山口女心	BURVP	眠
月山尸竹月	BUSHB	瞩
月山尸竹戈	BUSHI	䀔
月山尸竹口	BUSHR	眧
月山尸十	BUSJ	眲
月山尸大	BUSK	眍
月山尸一土	BUSMG	眶矅
月山尸心	BUSP	眤
月山尸口十	BUSRJ	䁹
月山尸口口	BUSRR	瞘
月山尸廿口	BUSTR	䁥
月山尸山山	BUSUU	𥇣
月山尸卜戈	BUSYI	矚
月山廿日大	BUTAK	瞙
月山廿月金	BUTBC	睓
月山廿月人	BUTBO	矇
月山廿金	BUTC	䀧
月山廿金人	BUTCO	瞨
月山廿土尸	BUTGS	䂀
月山廿戈廿	BUTIT	䁳
月山廿大	BUTK	眹
月山廿大口	BUTKR	睰
月山廿中月	BUTLB	瞞
月山廿中大	BUTLK	䁐
月山廿中人	BUTLO	䁧
月山廿一月	BUTMB	瞒
月山廿一十	BUTMJ	瞱
月山廿人水	BUTOE	矆
月山廿心木	BUTPD	瞸
月山廿手	BUTQ	眻
月山廿手一	BUTQM	䁟
月山廿口土	BUTRG	矔
月山廿田	BUTW	瞄
月山廿田戈	BUTWI	䁾
月山廿田山	BUTWU	矒
月山廿田女	BUTWV	䁸
月山廿難金	BUTXC	䁠
月山山	BUU	朏胐
月山山金水	BUUCE	䁓
月山山一廿	BUUMT	䁗
月山女火	BUVF	県
月山女火月	BUVFB	矊
月山女火戈	BUVFI	䂅
月山女戈木	BUVID	䁻
月山女戈尸	BUVIS	眑
月山女一中	BUVML	鼎
月山女弓水	BUVNE	睩
月山女女女	BUVVV	䁽
月山田月	BUWB	䁌
月山田木	BUWD	睏
月山田火土	BUWFG	䁼
月山田土火	BUWGF	䁫
月山田中日	BUWLA	𥌓
月山田中金	BUWLC	䁲
月山田中十	BUWLJ	䁺
月山田中女	BUWLV	䁵
月山田一中	BUWML	睤
月山卜日十	BUYAJ	𥇍
月山卜月大	BUYBK	瞮
月山卜月心	BUYBP	矓
月山卜月山	BUYBU	𥌑
月山卜金月	BUYCB	䁤
月山卜木中	BUYDL	䁨
月山卜火木	BUYFD	瞇
月山卜竹尸	BUYHS	眆
月山卜竹女	BUYHV	褜
月山卜十	BUYJ	䀞
月山卜大	BUYK	盿
月山卜一心	BUYMP	眦
月山卜人十	BUYOJ	睟
月山卜心一	BUYPM	䁦
月山卜心廿	BUYPT	矑
月山卜口	BUYR	䀡
月山卜口火	BUYRF	䁁
月山卜口中	BUYRL	瞓
月山卜口弓	BUYRN	䁎
月山卜尸人	BUYSO	䁢
月山卜廿	BUYT	𥅈
月山卜廿土	BUYTG	瞳
月山卜廿十	BUYTJ	瞕
月山卜山月	BUYUB	瞝
月山卜女	BUYV	盳
月山卜女戈	BUYVI	眩
月山卜女人	BUYVO	䀭
月山卜女山	BUYVU	䀮
月山卜田一	BUYWM	䁴
月女	BV	妥
月女土	BVG	墾
月女竹日火	BVHAF	鵎鸚
月女竹中	BVHL	膷
月女竹女人	BVHVO	㼏
月女戈木	BVID	䑈
月女戈大	BVIK	奚
月女弓水	BVNE	䐂
月女弓中	BVNL	郻
月女弓人	BVNO	腞
月女人土	BVOG	䨉
月女心	BVP	懇
月女心卜一	BVPYM	鹦
月女女女	BVVV	臘
月女女田	BVVW	腦
月田木	BWD	㬷腂
月田土	BWG	䤚
月田土土	BWGG	𦢓
月田竹木	BWHD	䐃
月田戈一	BWIM	膕
月田大	BWK	胭
月田中	BWL	胛
月田中月	BWLB	腢
月田中土	BWLG	𦣇
月田中戈	BWLI	爵臅
月田中十	BWLJ	䐾
月田一戈	BWMI	腘
月田一女	BWMV	腲
月田人廿	BWOT	膃
月田心	BWP	腮
月田女火	BWVF	䐯
月田卜戈	BWYI	胟
月難火火	BXFF	𦦨
月卜	BY	丹円㓀
月卜日女	BYAV	腿
月卜月月	BYBB	膼
月卜月心	BYBP	𠖥朧
月卜月口	BYBR	膪
月卜月尸	BYBS	膀
月卜金月	BYCB	䐱
月卜金戈心	BYCIP	㥖
月卜金大	BYCK	㬵胶
月卜木大	BYDK	㬿
月卜竹日火	BYHAF	鴅
月卜竹竹竹	BYHHH	彤
月卜竹十	BYHJ	膖
月卜竹弓	BYHN	肮
月卜竹口	BYHR	膇
月卜竹尸	BYHS	肪
月卜戈日	BYIA	膱
月卜戈十	BYIJ	膟
月卜十十	BYJJ	腁
月卜大月	BYKB	膸
月卜大中	BYKL	脐
月卜大一	BYKM	䐮
月卜中金	BYLC	䑊
月卜中弓	BYLN	刐
月卜一口	BYMR	䚻
月卜一卜	BYMY	胩
月卜弓中	BYNL	䢷
月卜弓女	BYNV	䑉
月卜人十	BYOJ	脺
月卜人大	BYOK	腋
月卜心人	BYPO	臄
月卜心廿	BYPT	臚
月卜口	BYR	胋
月卜口月	BYRB	䐧
月卜口木	BYRD	朜
月卜口弓	BYRN	脝
月卜口心	BYRP	㓃
月卜口女	BYRV	䑋
月卜尸	BYS	胪
月卜尸一	BYSM	写
月卜廿	BYT	䏠
月卜廿日	BYTA	腤
月卜廿土	BYTG	朣膧
月卜廿一金	BYTMC	䵊
月卜廿人水	BYTOE	雘
月卜廿心	BYTP	臆
月卜廿口	BYTR	䏽
月卜山大	BYUK	脑
月卜女土	BYVG	臃
月卜女戈	BYVI	胘
月卜女人	BYVO	胲
月卜田一	BYWM	膻
月卜難	BYX	臍
金	C	金
金日	CA	鈤
金日日	CAA	錩
金日月	CAB	𨧹
金日月廿	CABT	鎾
金日火山	CAFU	鎤
金日土山	CAGU	䥵
金日竹竹竹	CAHHH	㣒
金日竹一	CAHM	鍟
金日竹山	CAHU	鎇
金日一	CAM	鉭
金日一竹	CAMH	鍚
金日一戈	CAMI	鍀
金日一十	CAMJ	銲
金日一人	CAMO	鍉
金日一女弓	CAMVN	甑
金日弓	CAN	鍆
金日弓日	CANA	鐧
金日弓日山	CANAU	䒏
金日弓月	CANB	鐗
金日弓木	CAND	䥜
金日弓中	CANL	鄫
金日弓口	CANR	䥨
金日弓廿	CANT	鐦
金日弓田	CANW	鑭
金日人心	CAOP	𨫞
金日心竹	CAPH	錫
金日心竹竹	CAPHH	朆
金日心心	CAPP	鋼
金日心女	CAPV	鍻
金日尸一	CASM	鎉
金日尸一一	CASMM	䎖
金日廿水	CATE	鑤
金日山	CAU	鈀
金日女	CAV	銀
金日女火	CAVF	䥪
金日田水	CAWE	鏝
金日卜火	CAYF	鐛
金日卜廿	CAYT	𨩄
金月	CB	䏌鈅
金月月	CBB	錋
金月月水	CBBE	鑀
金月月口	CBBR	鍋
金月金木	CBCD	𨨥
金月金弓	CBCN	鍘
金月金女	CBCV	𨰃
金月木戈	CBDI	鋝
金月土口	CBGR	錭
金月竹弓	CBHN	䤟
金月竹難	CBHX	䤾
金月十十	CBJJ	鍕
金月一	CBM	鉏
金月一水	CBME	鍰
金月一人	CBMO	䥂
金月一口	CBMR	𥖹銅
金月一尸	CBMS	鋤
金月弓木	CBND	鋢
金月人	CBO	钡
金月人弓	CBON	铡
金月人山	CBOU	鎐
金月尸木	CBSD	錚
金月廿	CBT	銏
金月廿女	CBTV	龬
金月山	CBU	鉬
金月山金	CBUC	鋇
金月山水	CBUE	钁
金月山土	CBUG	鑺
金月山中	CBUL	鐤
金月山山	CBUU	鋧
金月女	CBV	鋖
金月田戈	CBWI	𨰜
金金	CC	釟鍂
金金金	CCC	鑫
金金金金	CCCC	𨰻
金金竹日火	CCHAF	𪄇
金金戈	CCI	鈆
金金戈一	CCIM	鎓
金金弓竹	CCNH	銻
